material,color,type,size_L_in,size_W_in
Granite,Crystal Grey ,Countertop,114,26
Granite,Crystal Grey ,Island,108,28
Granite,Crystal Grey ,Island,108,32
Granite,Crystal Grey ,Island,108,36
Granite,Crystal Grey ,Island,108,39
Granite,Crystal Grey ,Island,108,52
Granite,Diamond Giallo ,Backsplash,108,4
Granite,Diamond Giallo ,Backsplash,108,7
Granite,Diamond Giallo ,Bartop,108,14
Granite,Diamond Giallo ,Bartop,108,16
Granite,Diamond Giallo ,Countertop,96,26
Granite,Diamond Giallo ,Countertop,108,26
Granite,Diamond Giallo ,Countertop,114,26
Granite,Diamond Giallo ,Island,108,28
Granite,Diamond Giallo ,Island,108,32
Granite,Diamond Giallo ,Island,108,36
Granite,Diamond Giallo ,Island,108,39
Granite,Diamond Giallo ,Island,108,52
Granite,Emerald Pearl ,Backsplash,108,4
Granite,Emerald Pearl ,Backsplash,108,7
Granite,Emerald Pearl ,Bartop,108,14
Granite,Emerald Pearl ,Bartop,108,16
Granite,Emerald Pearl ,Countertop,96,26
Granite,Emerald Pearl ,Countertop,108,26
Granite,Emerald Pearl ,Countertop,114,26
Granite,Emerald Pearl ,Island,108,28
Granite,Emerald Pearl ,Island,108,32
Granite,Emerald Pearl ,Island,108,36
Granite,Emerald Pearl ,Island,108,39
Granite,Emerald Pearl ,Island,108,52
Granite,Galaxy Yeallow ,Backsplash,108,4
Granite,Galaxy Yeallow ,Backsplash,108,7
Granite,Galaxy Yeallow ,Bartop,108,14
Granite,Galaxy Yeallow ,Bartop,108,16
Granite,Galaxy Yeallow ,Countertop,96,26
Granite,Galaxy Yeallow ,Countertop,108,26
Granite,Galaxy Yeallow ,Countertop,114,26
Granite,Galaxy Yeallow ,Island,108,28
Granite,Galaxy Yeallow ,Island,108,32
Granite,Galaxy Yeallow ,Island,108,36
Granite,Galaxy Yeallow ,Island,108,39
Granite,Galaxy Yeallow ,Island,108,52
Granite,Giallo Forito ,Backsplash,108,4
Granite,Giallo Forito ,Backsplash,108,7
Granite,Giallo Forito ,Bartop,108,14
Granite,Giallo Forito ,Bartop,108,16
Granite,Giallo Forito ,Countertop,96,26
Granite,Giallo Forito ,Countertop,108,26
Granite,Giallo Forito ,Countertop,114,26
Granite,Giallo Forito ,Island,108,28
Granite,Giallo Forito ,Island,108,32
Granite,Giallo Forito ,Island,108,36
Granite,Giallo Forito ,Island,108,39
Granite,Giallo Forito ,Island,108,52
Granite,Giallo Ornamental ,Backsplash,108,4
Granite,Giallo Ornamental ,Backsplash,108,7
Granite,Giallo Ornamental ,Bartop,108,14
Granite,Giallo Ornamental ,Bartop,108,16
Granite,Giallo Ornamental ,Countertop,96,26
Granite,Giallo Ornamental ,Countertop,108,26
Granite,Giallo Ornamental ,Countertop,114,26
Granite,Giallo Ornamental ,Island,108,28
Granite,Giallo Ornamental ,Island,108,32
Granite,Giallo Ornamental ,Island,108,36
Granite,Giallo Ornamental ,Island,108,39
Granite,Giallo Ornamental ,Island,108,52
Granite,Giallo Veniziano ,Backsplash,108,4
Granite,Giallo Veniziano ,Backsplash,108,7
Granite,Giallo Veniziano ,Bartop,108,14
Granite,Giallo Veniziano ,Bartop,108,16
Granite,Giallo Veniziano ,Countertop,96,26
Granite,Giallo Veniziano ,Countertop,108,26
Granite,Giallo Veniziano ,Countertop,114,26
Granite,Giallo Veniziano ,Island,108,28
Granite,Giallo Veniziano ,Island,108,32
Granite,Giallo Veniziano ,Island,108,36
Granite,Giallo Veniziano ,Island,108,39
Granite,Giallo Veniziano ,Island,108,52
Granite,Golden Persia ,Backsplash,108,4
Granite,Golden Persia ,Backsplash,108,7
Granite,Golden Persia ,Bartop,108,14
Granite,Golden Persia ,Bartop,108,16
Granite,Golden Persia ,Countertop,96,26
Granite,Golden Persia ,Countertop,108,26
Granite,Golden Persia ,Countertop,114,26
Granite,Golden Persia ,Island,108,28
Granite,Golden Persia ,Island,108,32
Granite,Golden Persia ,Island,108,36
Granite,Golden Persia ,Island,108,39
Granite,Golden Persia ,Island,108,52
Granite,Hincmar Giallo,Backsplash,108,4
Granite,Hincmar Giallo,Backsplash,108,7
Granite,Hincmar Giallo,Bartop,108,14
Granite,Hincmar Giallo,Bartop,108,16
Granite,Hincmar Giallo,Countertop,96,26
Granite,Hincmar Giallo,Countertop,108,26
Granite,Hincmar Giallo,Countertop,114,26
Granite,Hincmar Giallo,Island,108,28
Granite,Hincmar Giallo,Island,108,32
Granite,Hincmar Giallo,Island,108,36
Granite,Hincmar Giallo,Island,108,39
Granite,Hincmar Giallo,Island,108,52
Granite,Iron Grey ,Backsplash,108,4
Granite,Iron Grey ,Backsplash,108,7
Granite,Iron Grey ,Bartop,108,14
Granite,Iron Grey ,Bartop,108,16
Granite,Iron Grey ,Countertop,96,26
Granite,Iron Grey ,Countertop,108,26
Granite,Iron Grey ,Countertop,114,26
Granite,Iron Grey ,Island,108,28
Granite,Iron Grey ,Island,108,32
Granite,Iron Grey ,Island,108,36
Granite,Iron Grey ,Island,108,39
Granite,Iron Grey ,Island,108,52
Granite,Lapidus ,Backsplash,108,4
Granite,Lapidus ,Backsplash,108,7
Granite,Lapidus ,Bartop,108,14
Granite,Lapidus ,Bartop,108,16
Granite,Lapidus ,Countertop,96,26
Granite,Lapidus ,Countertop,108,26
Granite,Lapidus ,Countertop,114,26
Granite,Lapidus ,Island,108,28
Granite,Lapidus ,Island,108,32
Granite,Lapidus ,Island,108,36
Granite,Lapidus ,Island,108,39
Granite,Lapidus ,Island,108,52
Granite,Luis Gold ,Backsplash,108,4
Granite,Luis Gold ,Backsplash,108,7
Granite,Luis Gold ,Bartop,108,14
Granite,Luis Gold ,Bartop,108,16
Granite,Luis Gold ,Countertop,96,26
Granite,Luis Gold ,Countertop,108,26
Granite,Luis Gold ,Countertop,114,26
Granite,Luis Gold ,Island,108,28
Granite,Luis Gold ,Island,108,32
Granite,Luis Gold ,Island,108,36
Granite,Luis Gold ,Island,108,39
Granite,Luis Gold ,Island,108,52
Granite,Luna Grey ,Backsplash,108,4
Granite,Luna Grey ,Backsplash,108,7
Granite,Luna Grey ,Bartop,108,14
Granite,Luna Grey ,Bartop,108,16
Granite,Luna Grey ,Countertop,96,26
Granite,Luna Grey ,Countertop,108,26
Granite,Luna Grey ,Countertop,114,26
Granite,Luna Grey ,Island,108,28
Granite,Luna Grey ,Island,108,32
Granite,Luna Grey ,Island,108,36
Granite,Luna Grey ,Island,108,39
Granite,Luna Grey ,Island,108,52
Granite,Luna Pearl ,Backsplash,108,4
Granite,Luna Pearl ,Backsplash,108,7
Granite,Luna Pearl ,Bartop,108,14
Granite,Luna Pearl ,Bartop,108,16
Granite,Luna Pearl ,Countertop,96,26
Granite,Luna Pearl ,Countertop,108,26
Granite,Luna Pearl ,Countertop,114,26
Granite,Luna Pearl ,Island,108,28
Granite,Luna Pearl ,Island,108,32
Granite,Luna Pearl ,Island,108,36
Granite,Luna Pearl ,Island,108,39
Granite,Luna Pearl ,Island,108,52
Granite,Millinnium Gold ,Backsplash,108,4
Granite,Millinnium Gold ,Backsplash,108,7
Granite,Millinnium Gold ,Bartop,108,14
Granite,Millinnium Gold ,Bartop,108,16
Granite,Millinnium Gold ,Countertop,96,26
Granite,Millinnium Gold ,Countertop,108,26
Granite,Millinnium Gold ,Countertop,114,26
Granite,Millinnium Gold ,Island,108,28
Granite,Millinnium Gold ,Island,108,32
Granite,Millinnium Gold ,Island,108,36
Granite,Millinnium Gold ,Island,108,39
Granite,Millinnium Gold ,Island,108,52
Granite,New Calidonia ,Backsplash,108,4
Granite,New Calidonia ,Backsplash,108,7
Granite,New Calidonia ,Bartop,108,14
Granite,New Calidonia ,Bartop,108,16
Granite,New Calidonia ,Countertop,96,26
Granite,New Calidonia ,Countertop,108,26
Granite,New Calidonia ,Countertop,114,26
Granite,New Calidonia ,Island,108,28
Granite,New Calidonia ,Island,108,32
Granite,New Calidonia ,Island,108,36
Granite,New Calidonia ,Island,108,39
Granite,New Calidonia ,Island,108,52
Granite,New Golden Persa ,Backsplash,108,4
Granite,New Golden Persa ,Backsplash,108,7
Granite,New Golden Persa ,Bartop,108,14
Granite,New Golden Persa ,Bartop,108,16
Granite,New Golden Persa ,Countertop,96,26
Granite,New Golden Persa ,Countertop,108,26
Granite,New Golden Persa ,Countertop,114,26
Granite,New Golden Persa ,Island,108,28
Granite,New Golden Persa ,Island,108,32
Granite,New Golden Persa ,Island,108,36
Granite,New Golden Persa ,Island,108,39
Granite,New Golden Persa ,Island,108,52
Granite,New Hincmar Giallo ,Backsplash,108,4
Granite,New Hincmar Giallo ,Backsplash,108,7
Granite,New Hincmar Giallo ,Bartop,108,14
Granite,New Hincmar Giallo ,Bartop,108,16
Granite,New Hincmar Giallo ,Countertop,96,26
Granite,New Hincmar Giallo ,Countertop,108,26
Granite,New Hincmar Giallo ,Countertop,114,26
Granite,New Hincmar Giallo ,Island,108,28
Granite,New Hincmar Giallo ,Island,108,32
Granite,New Hincmar Giallo ,Island,108,36
Granite,New Hincmar Giallo ,Island,108,39
Granite,New Hincmar Giallo ,Island,108,52
Granite,Ornamental Light ,Backsplash,108,4
Granite,Ornamental Light ,Backsplash,108,7
Granite,Ornamental Light ,Bartop,108,14
Granite,Ornamental Light ,Bartop,108,16
Granite,Ornamental Light ,Countertop,96,26
Granite,Ornamental Light ,Countertop,108,26
Granite,Ornamental Light ,Countertop,114,26
Granite,Ornamental Light ,Island,108,28
Granite,Ornamental Light ,Island,108,32
Granite,Ornamental Light ,Island,108,36
Granite,Ornamental Light ,Island,108,39
Granite,Ornamental Light ,Island,108,52
Granite,Rustik Dark ,Backsplash,108,4
Granite,Rustik Dark ,Backsplash,108,7
Granite,Rustik Dark ,Bartop,108,14
Granite,Rustik Dark ,Bartop,108,16
Granite,Rustik Dark ,Countertop,96,26
Granite,Rustik Dark ,Countertop,108,26
Granite,Rustik Dark ,Countertop,114,26
Granite,Rustik Dark ,Island,108,28
Granite,Rustik Dark ,Island,108,32
Granite,Rustik Dark ,Island,108,36
Granite,Rustik Dark ,Island,108,39
Granite,Rustik Dark ,Island,108,52
Granite,Sandy Gold ,Backsplash,108,4
Granite,Sandy Gold ,Backsplash,108,7
Granite,Sandy Gold ,Bartop,108,14
Granite,Sandy Gold ,Bartop,108,16
Granite,Sandy Gold ,Countertop,96,26
Granite,Sandy Gold ,Countertop,108,26
Granite,Sandy Gold ,Countertop,114,26
Granite,Sandy Gold ,Island,108,28
Granite,Sandy Gold ,Island,108,32
Granite,Sandy Gold ,Island,108,36
Granite,Sandy Gold ,Island,108,39
Granite,Sandy Gold ,Island,108,52
Granite,Santa Cecilia Classic ,Backsplash,108,4
Granite,Santa Cecilia Classic ,Backsplash,108,7
Granite,Santa Cecilia Classic ,Bartop,108,14
Granite,Santa Cecilia Classic ,Bartop,108,16
Granite,Santa Cecilia Classic ,Countertop,96,26
Granite,Santa Cecilia Classic ,Countertop,108,26
Granite,Santa Cecilia Classic ,Countertop,114,26
Granite,Santa Cecilia Classic ,Island,108,28
Granite,Santa Cecilia Classic ,Island,108,32
Granite,Santa Cecilia Classic ,Island,108,36
Granite,Santa Cecilia Classic ,Island,108,39
Granite,Santa Cecilia Classic ,Island,108,52
Granite,Santa Cecilia Gold,Backsplash,108,4
Granite,Santa Cecilia Gold,Backsplash,108,7
Granite,Santa Cecilia Gold,Bartop,108,14
Granite,Santa Cecilia Gold,Bartop,108,16
Granite,Santa Cecilia Gold,Countertop,96,26
Granite,Santa Cecilia Gold,Countertop,108,26
Granite,Santa Cecilia Gold,Countertop,114,26
Granite,Santa Cecilia Gold,Island,108,28
Granite,Santa Cecilia Gold,Island,108,32
Granite,Santa Cecilia Gold,Island,108,36
Granite,Santa Cecilia Gold,Island,108,39
Granite,Santa Cecilia Gold,Island,108,52
Granite,Santa Cecilia Light ,Backsplash,108,4
Granite,Santa Cecilia Light ,Backsplash,108,7
Granite,Santa Cecilia Light ,Bartop,108,14
Granite,Santa Cecilia Light ,Bartop,108,16
Granite,Santa Cecilia Light ,Countertop,96,26
Granite,Santa Cecilia Light ,Countertop,108,26
Granite,Santa Cecilia Light ,Countertop,114,26
Granite,Santa Cecilia Light ,Island,108,28
Granite,Santa Cecilia Light ,Island,108,32
Granite,Santa Cecilia Light ,Island,108,36
Granite,Santa Cecilia Light ,Island,108,39
Granite,Santa Cecilia Light ,Island,108,52
Granite,White Wave/ Surf White ,Backsplash,108,4
Granite,White Wave/ Surf White ,Backsplash,108,7
Granite,White Wave/ Surf White ,Bartop,108,14
Granite,White Wave/ Surf White ,Bartop,108,16
Granite,White Wave/ Surf White ,Countertop,96,26
Granite,White Wave/ Surf White ,Countertop,108,26
Granite,White Wave/ Surf White ,Countertop,114,26
Granite,White Wave/ Surf White ,Island,108,28
Granite,White Wave/ Surf White ,Island,108,32
Granite,White Wave/ Surf White ,Island,108,36
Granite,White Wave/ Surf White ,Island,108,39
Granite,White Wave/ Surf White ,Island,108,52
Granite,Sapphire Brown ,Backsplash,108,4
Granite,Sapphire Brown ,Backsplash,108,7
Granite,Sapphire Brown ,Bartop,108,14
Granite,Sapphire Brown ,Bartop,108,16
Granite,Sapphire Brown ,Countertop,96,26
Granite,Sapphire Brown ,Countertop,108,26
Granite,Sapphire Brown ,Countertop,114,26
Granite,Sapphire Brown ,Island,108,28
Granite,Sapphire Brown ,Island,108,32
Granite,Sapphire Brown ,Island,108,36
Granite,Sapphire Brown ,Island,108,39
Granite,Sapphire Brown ,Island,108,52
Granite,Tan Brown ,Backsplash,108,4
Granite,Tan Brown ,Backsplash,108,7
Granite,Tan Brown ,Bartop,108,14
Granite,Tan Brown ,Bartop,108,16
Granite,Tan Brown ,Countertop,96,26
Granite,Tan Brown ,Countertop,108,26
Granite,Tan Brown ,Countertop,114,26
Granite,Tan Brown ,Island,108,28
Granite,Tan Brown ,Island,108,32
Granite,Tan Brown ,Island,108,36
Granite,Tan Brown ,Island,108,39
Granite,Tan Brown ,Island,108,52
Granite,Titanium,Backsplash,108,4
Granite,Titanium,Backsplash,108,7
Granite,Titanium,Bartop,108,14
Granite,Titanium,Bartop,108,16
Granite,Titanium,Countertop,96,26
Granite,Titanium,Countertop,108,26
Granite,Titanium,Countertop,114,26
Granite,Titanium,Island,108,28
Granite,Titanium,Island,108,32
Granite,Titanium,Island,108,36
Granite,Titanium,Island,108,39
Granite,Titanium,Island,108,52
Granite,Uba Tuba ,Backsplash,108,4
Granite,Uba Tuba ,Backsplash,108,7
Granite,Uba Tuba ,Bartop,108,14
Granite,Uba Tuba ,Bartop,108,16
Granite,Uba Tuba ,Countertop,96,26
Granite,Uba Tuba ,Countertop,108,26
Granite,Uba Tuba ,Countertop,114,26
Granite,Uba Tuba ,Island,108,28
Granite,Uba Tuba ,Island,108,32
Granite,Uba Tuba ,Island,108,36
Granite,Uba Tuba ,Island,108,39
Granite,Uba Tuba ,Island,108,52
Granite,Verde Butterfly ,Backsplash,108,4
Granite,Verde Butterfly ,Backsplash,108,7
Granite,Verde Butterfly ,Bartop,108,14
Granite,Verde Butterfly ,Bartop,108,16
Granite,Verde Butterfly ,Countertop,96,26
Granite,Verde Butterfly ,Countertop,108,26
Granite,Verde Butterfly ,Countertop,114,26
Granite,Verde Butterfly ,Island,108,28
Granite,Verde Butterfly ,Island,108,32
Granite,Verde Butterfly ,Island,108,36
Granite,Verde Butterfly ,Island,108,39
Granite,Verde Butterfly ,Island,108,52
Granite,White Galaxy ,Backsplash,108,4
Granite,White Galaxy ,Backsplash,108,7
Granite,White Galaxy ,Bartop,108,14
Granite,White Galaxy ,Bartop,108,16
Granite,White Galaxy ,Countertop,96,26
Granite,White Galaxy ,Countertop,108,26
Granite,White Galaxy ,Countertop,114,26
Granite,White Galaxy ,Island,108,28
Granite,White Galaxy ,Island,108,32
Granite,White Galaxy ,Island,108,36
Granite,White Galaxy ,Island,108,39
Granite,White Galaxy ,Island,108,52
Granite,Yellow Butterfly ,Backsplash,108,4
Granite,Yellow Butterfly ,Backsplash,108,7
Granite,Yellow Butterfly ,Bartop,108,14
Granite,Yellow Butterfly ,Bartop,108,16
Granite,Yellow Butterfly ,Countertop,96,26
Granite,Yellow Butterfly ,Countertop,108,26
Granite,Yellow Butterfly ,Countertop,114,26
Granite,Yellow Butterfly ,Island,108,28
Granite,Yellow Butterfly ,Island,108,32
Granite,Yellow Butterfly ,Island,108,36
Granite,Yellow Butterfly ,Island,108,39
Granite,Yellow Butterfly ,Island,108,52
Granite,African Canyon (TS),Backsplash,108,4
Granite,African Canyon (TS),Bartop,108,16
Granite,African Canyon (TS),Countertop,96,26
Granite,African Canyon (TS),Countertop,108,26
Granite,African Canyon (TS),Countertop,114,26
Granite,African Canyon (TS),Island,108,28
Granite,African Canyon (TS),Island,108,32
Granite,Namib Gold (MAS),Backsplash,108,4
Granite,Namib Gold (MAS),Bartop,108,14
Granite,Namib Gold (MAS),Bartop,108,16
Granite,Namib Gold (MAS),Countertop,96,26
Granite,Namib Gold (MAS),Countertop,108,26
Granite,Namib Gold (MAS),Countertop,114,26
Granite,Namib Gold (MAS),Island,108,28
Granite,Namib Gold (MAS),Island,108,32
Granite,Namib Gold (MAS),Island,108,36
Granite,Namib Gold (MAS),Island,108,39
Granite,Namib Gold (MAS),Island,108,52
Granite,Delicatus SE (ES),Backsplash,108,4
Granite,Delicatus SE (ES),Bartop,108,14
Granite,Delicatus SE (ES),Bartop,108,6
Granite,Delicatus SE (ES),Countertop,96,26
Granite,Delicatus SE (ES),Countertop,108,26
Granite,Delicatus SE (ES),Countertop,114,26
Granite,Delicatus SE (ES),Island,108,28
Granite,Delicatus SE (ES),Island,108,32
Granite,Delicatus SE (ES),Island,108,36
Granite,Delicatus SE (ES),Island,108,42
Granite,Snow Fall/ (River White CCL),Backsplash,108,4
Granite,Snow Fall/ (River White CCL),Backsplash,108,7
Granite,Snow Fall/ (River White CCL),Bartop,108,14
Granite,Snow Fall/ (River White CCL),Bartop,108,6
Granite,Snow Fall/ (River White CCL),Countertop,96,26
Granite,Snow Fall/ (River White CCL),Countertop,108,26
Granite,Snow Fall/ (River White CCL),Island,108,28
Granite,Snow Fall/ (River White CCL),Island,108,32
Granite,Snow Fall/ (River White CCL),Island,108,36
Granite,Snow Fall/ (River White CCL),Island,108,39
Granite,Snow Fall/ (River White CCL),Island,108,42
Granite,Snow Fall/ (River White CCL),Island,108,52
Granite,New Alaska White,Backsplash,108,4
Granite,New Alaska White,Backsplash,108,7
Granite,New Alaska White,Bartop,108,14
Granite,New Alaska White,Bartop,108,6
Granite,New Alaska White,Countertop,96,26
Granite,New Alaska White,Countertop,108,26
Granite,New Alaska White,Countertop,114,26
Granite,New Alaska White,Island,108,28
Granite,New Alaska White,Island,108,32
Granite,New Alaska White,Island,108,36
Granite,New Alaska White,Island,108,39
Granite,New Alaska White,Island,108,52
Granite,Kashmir White SE,Backsplash,108,4
Granite,Kashmir White SE,Backsplash,108,7
Granite,Kashmir White SE,Bartop,108,14
Granite,Kashmir White SE,Bartop,108,6
Granite,Kashmir White SE,Countertop,96,26
Granite,Kashmir White SE,Countertop,108,26
Granite,Kashmir White SE,Countertop,114,26
Granite,Kashmir White SE,Island,108,28
Granite,Kashmir White SE,Island,108,32
Granite,Kashmir White SE,Island,108,36
Granite,Kashmir White SE,Island,108,39
Granite,Kashmir White SE,Island,108,52
